Date,date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,cp_rl_126,cp_score_126,cp_rl_21,cp_score_21
1991-01-02,1991-01-02,AAPL,0.388392469,0.388392469,0.01162790631043742,0.028312202446422227,-0.0038361718698221394,0.410702993963185,1.4156735819416204,2.084158309282369,-0.035756777816425056,0.3559967694186706,1.2196771138679645,1.004020001611018,0.282358242813666,2,2,1,1,1991,0.5313866478271282,0.9946036033728864,0.6186931795053067,0.7264296500944134
1991-01-03,1991-01-03,AAPL,0.383928188,0.383928188,-0.01149425222248579,0.028005866756625156,0.001961613317734105,-0.41042301323406366,0.9963366604385046,2.66585746063244,-0.03656338807545841,0.3213310376937815,1.189560978410316,1.023569268064903,0.3184588136140866,3,3,1,1,1991,0.5782342008250597,0.9902329833006256,0.6665545485503434,0.7987838504308362
1991-01-04,1991-01-04,AAPL,0.386160328,0.386160328,0.005813951852891908,0.027543562171184727,0.0,0.21108206036524552,0.9774693044164706,2.4912736293857396,-0.10841586733631103,0.3332156262361291,1.1620215641654714,1.0406598735952373,0.3540252132847978,4,4,1,1,1991,0.22138689627996475,0.9210685001266452,0.3321062652877683,0.980249535608011
1991-01-07,1991-01-07,AAPL,0.386160328,0.386160328,0.0,0.027101485173060796,0.0,0.0,0.6270934161530964,2.531911061635353,-0.23794499622102594,0.3211310831834087,1.1349422755175798,1.0568138081860405,0.3887456741303768,0,7,2,1,1991,0.4071472571912454,0.989120682532233,0.3024375239504782,0.9807304651480432
1991-01-08,1991-01-08,AAPL,0.386160328,0.386160328,0.0,0.026666064559686554,0.016386113037075944,0.0,0.3967687592102121,2.291359961612246,-0.2665564639766795,0.35317245242892337,1.1036904923282158,1.067574516309585,0.4209765308850205,1,8,2,1,1991,0.6039916941834178,0.9857342938828194,0.2909807962448532,0.9964573956104666
1991-01-09,1991-01-09,AAPL,0.404017453,0.404017453,0.04624277458144288,0.027279428587563725,0.014352858931281723,1.6951518772839786,0.5176054611547269,2.8452833594568463,-0.12159610563244334,0.5933400882303205,1.1266707317631646,1.1019505136612162,0.46609860220087446,2,9,2,1,1991,0.6120951615874964,0.9840102898860424,0.4438934358572651,0.8756314124996311
1991-01-10,1991-01-10,AAPL,0.420758508,0.420758508,0.04143646487469921,0.027581436309061135,-0.0009087253392523031,1.5023316556247064,1.018580760015098,3.555174577047621,-0.017044666713510712,0.835786101665473,1.1932968508460247,1.158436117544911,0.5235787503026854,3,10,2,1,1991,0.5790110471061135,0.982656660222442,0.5020851371887661,0.9245899400077842
1991-01-11,1991-01-11,AAPL,0.419642438,0.419642438,-0.002652519150010746,0.02718036536368948,-0.0055475229989069745,-0.09758953253639013,1.4049896160638056,3.2154531355031164,0.017527416363006896,0.8397216694235082,1.2354317420171392,1.2034295421594199,0.5759719245146149,4,11,2,1,1991,0.5316884393003024,0.6818807353161862,0.5486440948227441,0.9161790949161672
1991-01-14,1991-01-14,AAPL,0.412946016,0.412946016,-0.015957447087370125,0.027037575199784423,0.0037781699617894207,-0.5901951994384969,1.3493953925725095,2.9690399221316897,0.04513611351918853,0.8163053802634107,1.2468565454901834,1.2366901005823876,0.6223596006694548,0,14,3,1,1991,0.6385830545309714,0.9659608351000254,0.5731242865367879,0.7205610823645727
1991-01-15,1991-01-15,AAPL,0.417410297,0.417410297,0.010810810195587273,0.026605139185146537,0.0227910893984464,0.4063429294751772,1.2076704907463673,3.2423120132022154,0.18918030465552457,0.80622005631149,1.2673109596466394,1.2757891019435403,0.6723051422235536,1,15,3,1,1991,0.6480349006324393,0.9547926822331962,0.6198400977813099,0.7651888992365309
1991-01-16,1991-01-16,AAPL,0.444195984,0.444195984,0.06417112177757311,0.028169296851385493,0.010113772134195403,2.278051955507611,1.9184511743127446,4.4278093265094975,0.3632071199365324,1.1097266537119372,1.368042334251069,1.356894816346965,0.7460201380386842,2,16,3,1,1991,0.6108262050799701,0.9722659294487348,0.5414944448247015,0.8542128436132553
1991-01-17,1991-01-17,AAPL,0.457588828,0.457588828,0.030150754357112897,0.027988411161179422,-0.006587473019698954,1.0772585190163526,2.1617082639809624,4.20417523905522,0.7242751910861307,1.3121958714117012,1.468661996329738,1.4310313383138193,0.8173562436006968,3,17,3,1,1991,0.5634871072464565,0.6519267900457577,0.7297136597966775,0.8589154182786144
1991-01-18,1991-01-18,AAPL,0.448660266,0.448660266,-0.019512194034597474,0.027988177539326836,0.003359311541828622,-0.6971584343846768,1.4763149094839576,3.4353382758780917,0.7181215871576767,1.0514400505403023,1.5124748657443225,1.4798650455365838,0.8759992343302203,4,18,3,1,1991,0.4784963144968506,0.987908116049491,0.7992626834272653,0.8627433661563062
1991-01-21,1991-01-21,AAPL,0.453124547,0.453124547,0.009950248190687905,0.02752822997363364,0.0033817899892474093,0.3614561561065927,1.6800631458139992,2.82624245715963,0.7213234891177637,1.20439194357595,1.5331296686942866,1.5087265180976048,0.9230534593941214,0,21,4,1,1991,0.22482201272714633,0.7373996257252899,0.560335596049134,0.7745713251987284
1991-01-22,1991-01-22,AAPL,0.457588828,0.457588828,0.009852216194325969,0.027075513600175828,0.0034047905075993315,0.36387919874073926,1.3280027620313941,3.0087045969043085,0.7127397567023788,1.2063888060684451,1.5517817206288427,1.5378137333875288,0.9701651305314423,1,22,4,1,1991,0.3161931221219993,0.9545095515808824,0.676564728828002,0.7745809680321982
1991-01-23,1991-01-23,AAPL,0.462053109,0.462053109,0.009756097017298737,0.02662994678940714,0.002571234058246852,0.3663581115820899,1.2291681721442527,3.1667649609904505,0.752213834394235,1.2349485662929387,1.5683111708057083,1.5666358179611861,1.0171060990859175,2,23,4,1,1991,0.3248875938819048,0.9644899531272746,0.5160484794768568,0.8806387926086273
1991-01-24,1991-01-24,AAPL,0.46540132,0.46540132,0.007246376952741107,0.026190017265674798,0.009517258256392337,0.27668469551711083,1.5385983387765174,3.4107525899819295,0.8837906471376333,1.2687141698246107,1.5836004323451842,1.5973961506035412,1.0655780426286532,3,24,4,1,1991,0.510762090105841,0.9971293214698252,0.5479266213538354,0.9840245105474478
1991-01-25,1991-01-25,AAPL,0.477678094,0.477678094,0.026378898108840643,0.025968813104534635,0.006801192720170533,1.0157914419367282,1.8726853529416825,3.8003555737524537,1.0053247404030057,1.536931195339949,1.6158669015982774,1.634596555416133,1.1172586278635541,4,25,4,1,1991,0.5187743136716252,0.9977882702547098,0.4777350312840824,0.7095519093073188
1991-01-28,1991-01-28,AAPL,0.486606656,0.486606656,0.018691587728534298,0.025604301605433224,-0.005078586148101612,0.7300174797412927,2.1551665808303837,4.018478231962423,0.9955746456108094,1.5723675772255192,1.65117989129576,1.6722284798316362,1.1689215976107126,0,28,5,1,1991,0.5268677234934844,0.9985436366382826,0.5260779873321169,0.6585236500141345
1991-01-29,1991-01-29,AAPL,0.479910234,0.479910234,-0.01376146815385948,0.025507389185460565,0.012061035004247564,-0.5395090831837716,2.138771302462918,3.947291333519177,0.9770961307924295,1.4345705235094584,1.662047163794422,1.705947699013307,1.2207615462921664,1,29,5,1,1991,0.5348652587305165,0.998721981426288,0.5730450098400892,0.633070413135361
1991-01-30,1991-01-30,AAPL,0.495535219,0.495535219,0.03255814086265141,0.025465996460121616,0.0,1.2784946747964765,2.4909856986261905,4.09221869408316,1.08353677198851,1.5642227525708439,1.6888420026966569,1.7395380210472489,1.2703726886517364,2,30,5,1,1991,0.5486453733986215,0.9993359416165022,0.6215244215874642,0.6153491635254114
